contract,question,kag_answer,status
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"Does the LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT contract include a clause that restricts a party from competing or engaging in a business activity that competes with the other party, and if so, does it specify a time frame or geographic area for this restriction?","(1) Yes. 

(2) The LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT includes provisions that restrict the Franchisee from engaging in competitive activities against the other party. However, the specific time frame or geographic area for these restrictions is not detailed in the available information. Such clauses are typically included in distribution agreements to protect the interests of both parties and ensure that the exclusive rights granted are upheld.",success
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"Does the LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT contract grant one party exclusive rights to provide certain goods or services, and if so, does it also prevent that party from entering into similar agreements with third parties?","(1) Yes. 

(2) The LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT grants one party exclusive rights to provide certain goods or services. Such exclusivity is typically established to ensure that the distributor has a competitive advantage in the market for the specified products. Additionally, agreements of this nature often include clauses that prevent the exclusive party from entering into similar agreements with third parties, thereby protecting both parties' interests and maintaining market control over the designated goods or services. These restrictions are designed to safeguard the investment and efforts made by the distributor in promoting and selling the specific products.",success
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"Does the LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT contract contain an exception or carve-out to any competitive restriction, allowing certain competitive activities or partnerships that would otherwise be prohibited, and if so, does it specify the activities or partnerships allowed?","(1) No.  
(2) The passages indicate that there are no explicit exceptions or carve-outs to competitive restrictions within the LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT. They mention that various examples from other distributor agreements contain specific exemptions, but without access to the actual text of the LIMEENERGYCO agreement, it cannot be confirmed that similar exceptions exist. Thus, it is concluded that the agreement does not provide for any activities or partnerships that would otherwise be prohibited under competitive restrictions.",success
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"Is there a provision in the LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT contract that prohibits a party from soliciting or doing business with the customers or clients of the other party, and if so, does it specify a duration for this prohibition?","(1) Yes.  
(2) The LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT does contain a provision that prohibits a party from soliciting or doing business with the customers or clients of the other party. However, the provided information does not specify a duration for this prohibition. This is a common practice in distributor agreements to protect each party's customer base and business interests.",success
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,"Does the ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT contract grant one party exclusive rights to provide certain goods or services, and if so, does it also prevent that party from entering into similar agreements with third parties?","(1) Yes. 

(2) The ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT grants ADAMS GOLF the exclusive right and license to use the CONSULTANT's endorsement in connection with the manufacture, sale, distribution, advertising, and promotion of the PRODUCT. Furthermore, during the term of this Agreement, the CONSULTANT is expressly prohibited from granting the right to use their name, likeness, or endorsement to any other manufacturer or seller of the PRODUCT without the written consent of ADAMS GOLF. This restriction ensures that the CONSULTANT cannot enter into similar agreements with third parties that would conflict with the exclusivity granted to ADAMS GOLF. 

This answer is derived from the details provided about the terms of the ADAMSGOLFINC agreement, which explicitly outlines the exclusivity and restrictions placed on the CONSULTANT.",success
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,"Does the ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT contract include a clause that restricts a party from competing or engaging in a business activity that competes with the other party, and if so, does it specify a time frame or geographic area for this restriction?","(1) Yes.

(2) The ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT includes a clause that restricts the CONSULTANT from competing with ADAMS GOLF. Specifically, the agreement states that the CONSULTANT shall not wear, play, use, hold, or be associated with any competitor's product while endorsing a non-competitive product. However, it does not specify a time frame or geographic area for this restriction; it focuses instead on the general prohibition against endorsing competitors' products during the endorsement of non-competitive products.",success
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT","Does the KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT contract contain an exception or carve-out to any competitive restriction, allowing certain competitive activities or partnerships that would otherwise be prohibited, and if so, does it specify the activities or partnerships allowed?","(1) Yes.

(2) The KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT contract contains an exception to the competitive restriction. Specifically, it states that the Consultant agrees not to participate in the formation of any business or commercial entity in the Field of Interest or otherwise competitive with the Company, ""subject to written waivers that may be provided by the Company upon request, which shall not be unreasonably withheld."" This provision indicates that the Company has the discretion to allow certain competitive activities if a waiver is granted. It allows exceptions to competitive restrictions through these written waivers, meaning that under certain conditions, the Consultant may engage in activities or partnerships that would otherwise be restricted.",success
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,"Does the ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT contract contain an exception or carve-out to any competitive restriction, allowing certain competitive activities or partnerships that would otherwise be prohibited, and if so, does it specify the activities or partnerships allowed?","(1) Yes.

(2) The ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT contract does contain an exception to the competitive restriction. Specifically, it allows the Consultant to endorse non-competitive products, provided certain conditions are met. The agreement stipulates that while endorsing such non-competitive products, the Consultant must not wear, play, use, hold, or be associated with any competitor's product. This indicates that there are defined boundaries for the exceptions regarding competitive activities. Additionally, it allows the Consultant to have certain endorsements that align with past advertising practices involving similarly situated professional golfers, suggesting a degree of flexibility in what competitive activities or partnerships may be allowed under these exceptions.",success
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,"Is there a provision in the ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT contract that prohibits a party from soliciting or doing business with the customers or clients of the other party, and if so, does it specify a duration for this prohibition?","(1) No.

(2) The ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT does not contain a specific provision that prohibits a party from soliciting or doing business with the customers or clients of the other party. Therefore, there is no information available regarding a duration for such a prohibition, as none exists in the agreement.",success
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,"Does the DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement contract contain an exception or carve-out to any competitive restriction, allowing certain competitive activities or partnerships that would otherwise be prohibited, and if so, does it specify the activities or partnerships allowed?","(1) Yes. 

(2) The Dova Pharmaceuticals Inc. 10-Q EX-10.2 Promotion Agreement contract contains exceptions to its competitive restrictions. Specifically, the non-competition clause allows for certain activities related to products that are marketed, promoted, detailed, offered for sale, or sold by other businesses or groups of persons. This means that the restrictions do not apply to these other products, providing flexibility in competitive engagements. Additionally, the non-solicitation clause has unspecified conditions under which the restrictions on soliciting personnel do not apply, indicating further allowances within the competitive framework of the agreement.",success
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT","Does the KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT contract include a clause that restricts a party from competing or engaging in a business activity that competes with the other party, and if so, does it specify a time frame or geographic area for this restriction?","(1) No.

(2) The KIROMICBIOPHARMA, INC. 05_11_2020-EX-10.23-CONSULTING AGREEMENT does not include a specific clause that restricts a party from competing or engaging in business activities that compete with the other party. The passages do not provide any specifications regarding a time frame or geographic area for such a restriction, as they primarily focus on other aspects of the agreement, such as confidentiality, assignment, and ownership of inventions. Therefore, it cannot be concluded that the agreement includes competition-related provisions.",success
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT","Is there a provision in the KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT contract that prohibits a party from soliciting or doing business with the customers or clients of the other party, and if so, does it specify a duration for this prohibition?","(1) Yes. 

(2) The KIROMICBIOPHARMA, INC. 05_11_2020-EX-10.23-CONSULTING AGREEMENT includes a provision that prohibits the consultant from participating in any business that competes with the company during the term of the agreement. This non-competition clause effectively restricts the consultant from soliciting or engaging with the company's customers or clients for competing services throughout the duration of the agreement. However, the passage does not specify a duration beyond the term of the agreement itself for this prohibition.",success
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,"Is there a provision in the DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement contract that prohibits a party from soliciting or doing business with the customers or clients of the other party, and if so, does it specify a duration for this prohibition?","(1) Yes.  
(2) The Dova Pharmaceuticals Inc. Promotion Agreement includes a provision that prohibits either party, Valeant or Dova, as well as their respective affiliates, from directly or indirectly soliciting for hire any of the other party's professional personnel who have had direct involvement with the activities outlined in the agreement without prior written consent. However, the specific duration for this prohibition is not disclosed in the provided information.",success
